record_lotze_worm,species_group,species_detail,region,ocean_habitat,discipline,analytical_method,metric_used_unit,data_detail,time_period_then_to_now,low_year,then_unit,low_unit,now_unit,all_species_percent_decline_then_to_low,percent_decline_then_to_now,percent_left_low,percent_left_now,recovered_only_percent_left_low,recovered_only_percent_left_now,ref_no_lotze_worm
178,Whales,Humpback whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,NA,240000,NA,10000,95.83,95.83,4.17,4.17,NA,NA,63
179,Whales,Fin whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,NA,360000,NA,56000,84.44,84.44,15.56,15.56,NA,NA,63
180,Whales,Minke whale,N Atlantic,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,NA,265000,NA,149000,43.77,43.77,56.23,56.23,NA,NA,63
181,Whales,Gray whale,EN Pacific,Shelf,Genetic,Then-Now,pre-whaling abundance,genetic diversity,<1800-2000,1900,96000,2000,22000,97.92,77.08,2.08,22.92,2.08,22.92,"64, 65"
182,Whales,Bowhead whale,Davis Strait,Shelf,Historical,Then-Now,abundance,catch records,<1700-2000,NA,11900,NA,300,97.48,97.48,2.52,2.52,NA,NA,66
183,Whales,Right whale,NW Atlantic,Shelf,Historical,Then-Now,abundance,catch records,<1500-2000,1935,10000,58,300,99.42,97,0.58,3,0.58,3,67
184,Whales,Right whale,N Pacific,Shelf,Historical,Then-Now,encounter rate,"encounter rate of whales, maps and logbooks",1840-1850,NA,50,NA,5,90,90,10,10,NA,NA,68
185,Whales,"Right whale, southern",Southern Ocean,Shelf,Historical,Hind-casting,pre-whaling abundance,"recent abundance, catch data",<1800-1997,1920,80000,60,7600,99.93,90.5,0.08,9.5,0.08,9.5,"69, 70"
186,Whales,Sperm whale,Global Ocean,Ocean,Historical,Hind-casting,pre-whaling abundance,"recent abundance, catch data",<1800-1999,1975,1110000,300000,360000,72.97,67.57,27.03,32.43,27.03,32.43,71
187,Whales,Humback whale,"West Indies, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,17500,4000,10752,77.14,38.56,22.86,61.44,22.86,61.44,72
188,Whales,Humback whale,"West Indies, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,23000,6000,9000,73.91,60.87,26.09,39.13,26.09,39.13,72
189,Whales,Humback whale,"Cape Verde, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,5000,1300,4500,74,10,26,90,26,90,72
190,Whales,Humback whale,"Cape Verde, breeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,3200,200,300,93.75,90.63,6.25,9.38,6.25,9.38,72
191,Whales,Humback whale,"Gulf of Maine, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,2500,200,1500,92,40,8,60,8,60,72
192,Whales,Humback whale,"Gulf of Maine, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,3000,400,800,86.67,73.33,13.33,26.67,13.33,26.67,72
193,Whales,Humback whale,"Atlantic Canada, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,6000,1500,4200,75,30,25,70,25,70,72
194,Whales,Humback whale,"Atlantic Canada, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,4000,300,200,95,95,5,5,NA,NA,72
195,Whales,Humback whale,"Greenland, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,2300,250,400,89.13,82.61,10.87,17.39,10.87,17.39,72
196,Whales,Humback whale,"Greenland, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,2600,400,300,88.46,88.46,11.54,11.54,NA,NA,72
197,Whales,Humback whale,"Iceand, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,8500,2500,8200,70.59,3.53,29.41,96.47,29.41,96.47,72
198,Whales,Humback whale,"Iceand, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,12000,4500,7000,62.5,41.67,37.5,58.33,37.5,58.33,72
199,Whales,Humback whale,"Norway, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,2900,300,1700,89.66,41.38,10.34,58.62,10.34,58.62,72
200,Whales,Humback whale,"Norway, feeding ground",Shelf,Historical,Hind-casting,pre-whaling abundance,"model, recent abundance & historic catches",1664-2000,1920,5000,700,1200,86,76,14,24,14,24,72
201,Whales,Fin whale,N Atlantic,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1871-2001,1970,72900,48000,55700,34.16,23.59,65.84,76.41,65.84,76.41,65
202,Whales,Fin whale,N Pacific,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1903-2001,1970,64500,18000,30600,72.09,52.56,27.91,47.44,27.91,47.44,65
203,Whales,Fin whale,Southern Ocean,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1904-2001,NA,625000,NA,23300,96.27,96.27,3.73,3.73,NA,NA,65
204,Whales,Bowhead whale,Arctic,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1650-2001,1980,89000,6250,9450,92.98,89.38,7.02,10.62,7.02,10.62,65
205,Whales,Humback whale,N Atlantic,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1664-2001,NA,16200,NA,12400,23.46,23.46,76.54,76.54,NA,NA,65
206,Whales,Humback whale,N Pacific,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1900-2001,NA,16500,NA,7170,56.55,56.55,43.45,43.45,NA,NA,65
207,Whales,Humback whale,Southern Ocean,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1904-2001,NA,199000,NA,22500,88.69,88.69,11.31,11.31,NA,NA,65
208,Whales,Right whale,N Atlantic,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1530-2001,1935,14100,58,368,99.59,97.39,0.41,2.61,0.41,2.61,65
209,Whales,Right whale,N Pacific,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1835-2001,1970,9720,250,1340,97.43,86.21,2.57,13.79,2.57,13.79,65
210,Whales,Southern Right whale,Southern Ocean,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1785-2001,1970,86100,5000,6740,94.19,92.17,5.81,7.83,5.81,7.83,65
211,Whales,Gray whale,WN Pacific,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1890-2001,NA,3400,NA,136,96,96,4,4,NA,NA,65
212,Whales,Gray whale,EN Pacific,Shelf,Historical,Hind-casting,pre-whaling abundance,population models,1600-2001,1900,21200,2000,15800,90.57,25.47,9.43,74.53,9.43,74.53,65
